BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14720,6055519,14720,"Technic, Liftarm, Modified H-Shape Thick 3 x 5 Perpendicular",86,71,Light Bluish Gray,Solid Colors,1,2.29
18651,6089119,18651,"Technic, Axle  2L with Pin with Friction Ridges",11,0,Black,Solid Colors,2,0.32
2780,6279875,2780,"Technic, Pin with Short Friction Ridges",11,0,Black,Solid Colors,38,0.16
32062,4142865,32062,"Technic, Axle  2L Notched",5,4,Red,Solid Colors,2,0.26
32073,4211639,32073,"Technic, Axle  5L",86,71,Light Bluish Gray,Solid Colors,2,0.66
32271,6276838,32271,"Technic, Liftarm, Modified Bent Thick 1 x 9 (7 - 3)",3,14,Yellow,Solid Colors,2,2.63
32316,6261642,32316,"Technic, Liftarm Thick 1 x 5",71,26,Magenta,Solid Colors,2,0
32498,4255563,32498,"Technic, Gear 36 Tooth Double Bevel",11,0,Black,Solid Colors,1,3.5
32524,6261638,32524,"Technic, Liftarm Thick 1 x 7",156,322,Medium Azure,Solid Colors,1,1.74
32525,6261634,32525,"Technic, Liftarm Thick 1 x 11",71,26,Magenta,Solid Colors,3,0
3713,6275844,3713,Technic Bush,86,71,Light Bluish Gray,Solid Colors,1,0.14
37316c01,6217717,37316c01,"Electric Sensor, Distance - SPIKE Prime",11,0,Black,Solid Colors,1,0
3749,4666579,3749,"Technic, Axle  1L with Pin without Friction Ridges",2,19,Tan,Solid Colors,1,0.22
39367pb01,6253244,39367pb01,Wheel 56 x 14 Technic with Axle Hole and 8 Pin Holes with Molded Medium Azure Hard Rubber Tire Pattern,11,0,Black,Solid Colors,2,0
39370,6261590,39370,"Technic, Steering Ball Joint Large Receptacle with H-Shape Perpendicular Thick Liftarm",156,322,Medium Azure,Solid Colors,1,0
39793,6252656,39793,"Technic, Pin Connector Block, Liftarm 1 x 3 x 3",71,26,Magenta,Solid Colors,1,0
39794,6252663,39794,"Technic, Liftarm, Modified Frame Thick 7 x 11 Open Center",71,26,Magenta,Solid Colors,1,0
40490,4645732,40490,"Technic, Liftarm Thick 1 x 9",11,0,Black,Solid Colors,1,2.59
x346,6288218,x346,Bionicle 1 x 3 Tooth with Axle Hole (Bohrok Eye),1,15,White,Solid Colors,2,0.54
4519,6130007,4519,"Technic, Axle  3L",3,14,Yellow,Solid Colors,2,0.43
45590,4198367,45590,"Technic, Axle Connector Double - Flexible Rubber",11,0,Black,Solid Colors,2,0.59
46372,6259270,46372,"Technic, Gear 28 Tooth Double Bevel",86,71,Light Bluish Gray,Solid Colors,1,0
48989,6282158,48989,"Technic, Pin Connector Perpendicular 3L with 4 Pins",86,71,Light Bluish Gray,Solid Colors,3,1.22
49283,6263192,49283,"Technic, Axle and Wire Connector",156,322,Medium Azure,Solid Colors,1,0
49283,6263069,49283,"Technic, Axle and Wire Connector",3,14,Yellow,Solid Colors,1,0
49283,6263067,49283,"Technic, Axle and Wire Connector",5,4,Red,Solid Colors,1,0
49283,6263072,49283,"Technic, Axle and Wire Connector",6,2,Green,Solid Colors,1,0
49283,6263071,49283,"Technic, Axle and Wire Connector",7,1,Blue,Solid Colors,1,0
52629,6261647,52629,"Wheel Ball, Hard Plastic 19mm D.",1,15,White,Solid Colors,1,0
54675c01,6265698,54675c01,"Electric, Motor SPIKE Prime / Powered Up, Large Angular with White Top Housing and Cable",156,322,Medium Azure,Solid Colors,1,0
54696c01,6266099,54696c01,"Electric, Motor SPIKE Prime / Powered Up, Medium Angular with White Top Housing and Cable",156,322,Medium Azure,Solid Colors,2,0
55422c01,6266358,55422c01,Electric Rechargeable Battery 7.3V Large - SPIKE Prime,3,14,Yellow,Solid Colors,1,0
60483,6344813,60483,"Technic, Liftarm Thick 1 x 2 - Axle Hole",156,322,Medium Azure,Solid Colors,1,0.46
6558,6299413,6558,"Technic, Pin 3L with Friction Ridges",7,1,Blue,Solid Colors,2,0.31
53444c01,6263561,53444c01,"Electric, Hub Large - SPIKE Prime",3,14,Yellow,Solid Colors,1,0
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
87,32.16,,,,,,,,
